day,alarm (%H:%M:%S)
1,00:49:09
2,01:31:44
3,03:14:56
4,05:22:23
11,08:19:46
13,07:01:29
16,09:04:49
17,08:04:44
20,08:54:07
21,09:01:61
22,08:13:61
26,09:36:00
28,11:29:39
29,10:44:02
30,12:31:18
31,10:18:12
32,10:16:37
34,12:28:47
35,09:35:30
37,12:09:02
39,10:23:26
41,11:33:11
42,12:05:09
43,11:50:28
46,12:23:10
52,13:25:30
53,10:42:21
54,11:58:03
56,10:28:03
67,13:41:45
68,12:05:22
71,14:40:54
72,13:05:23
74,15:42:39
75,14:23:42
78,13:27:02
79,12:33:10
80,12:12:42
81,13:39:09
82,14:35:20
91,14:10:05
98,14:21:52
99,14:25:27
105,15:19:39
107,15:04:32
110,15:12:26
116,12:21:46
121,16:15:08
122,14:22:61
123,15:40:23
124,14:15:46
127,13:52:04
128,14:40:06
140,14:41:29
141,13:08:37
142,15:52:15
143,15:50:10
146,14:08:29
148,15:24:49
151,14:23:01
156,12:14:55
158,16:23:15
159,15:23:43
168,14:05:45
170,14:38:16
171,16:51:43
173,16:15:38
174,15:18:45
177,14:45:14
182,14:58:11
185,13:36:11
186,16:23:24
187,15:38:32
189,14:35:29
191,15:33:36
193,15:26:17
203,15:05:13
207,16:24:53
208,15:35:21
210,15:25:37
214,14:20:43
225,16:12:22
227,16:58:45
230,16:29:19
232,17:14:21
233,18:04:58
237,17:50:04
241,17:25:40
243,16:28:19
244,18:38:08
249,15:28:12
251,16:13:42
254,16:19:58
257,18:36:36
258,16:10:02
259,16:19:16
261,16:17:16
262,17:49:55
265,16:53:18
266,16:41:47
270,16:45:53
271,16:17:44
273,17:39:47
277,17:41:38
279,18:05:37
280,17:17:61
282,16:26:59
283,17:52:39
284,16:05:48
287,16:22:52
291,16:03:05
294,17:37:21
296,17:12:12
297,17:15:47
300,15:43:49
306,17:53:02
307,18:18:38
309,16:53:40
312,18:27:19
314,16:47:59
315,16:42:04
316,17:33:27
317,19:48:40
318,17:30:44
320,18:01:40
321,17:19:46
327,18:49:09
328,17:20:25
329,17:19:42
331,18:50:29
334,18:22:22
335,16:30:33
339,17:19:28
343,17:56:13
345,18:12:50
348,18:39:56
